Region Code,Region Name,Area Code,Area Name,Cases,Population,Rate,Lower CL,Upper CL,Cases.1,Population.1,Rate.1,Lower CL.1,Upper CL.1,Cases.2,Population.2,Rate.2,Lower CL.2,Upper CL.2
,,E92000001,England,63609,27827831,255.66655657233403,253.6597043584204,257.6851975450133,73480,28459130,251.68113143297313,249.85374810329984,253.51850000281695,138905,56286961,254.33518399701612,252.99590202712955,255.67978419903727
,,E12000001,North East,3532,1312124,294.6553570573124,284.8170751428361,304.74150620623107,5684,1357817,405.04969523965633,394.48665918575614,415.82190030170824,9257,2669941,351.27936681865003,344.11049057420837,358.55921804829387
,,E12000002,North West,9917,3625650,307.66681799053504,301.54192165463655,313.88329249476845,12736,3715546,335.31988621782125,329.4868034673726,341.2298541951864,22847,7341196,321.70363486772584,317.53033346142394,325.9179306326084
,,E12000003,Yorkshire and The Humber,5513,2717432,230.76674712011408,224.5912889723473,237.0663944637278,6994,2785535,246.5419552817694,240.75640793808418,252.43067180128116,12640,5502967,238.16145140757428,234.00990254895424,242.36793030543467
,,E12000004,East Midlands,3916,2391957,182.50440698044258,176.73190408455017,188.414932464652,3991,2443971,155.23433880860296,150.42137745883704,160.16127916680108,7917,4835928,166.6181491030833,162.95675732419465,170.34087148433665
,,E12000005,West Midlands,7084,2941291,273.6603290865897,267.22956268047983,280.20503242742416,8166,2992746,263.64895700311354,257.91447522064027,269.4780056735619,15268,5934037,266.52791897369593,262.3024885180556,270.8041848789576
,,E12000006,East of England,6093,3072499,212.5045067136495,207.15808778938327,217.95314213881528,6457,3163573,193.0264396642018,188.2949026511573,197.84582418427587,12561,6236072,199.94222040956214,196.44935696818078,203.4814448486542
,,E12000007,London,13506,4475817,423.9058658992852,416.42014777437686,431.48737834832934,12475,4486172,318.5021152871792,312.7745467090211,324.30596976452733,26021,8961989,365.92842539223557,361.332200541955,370.5669413791603
,,E12000008,South East,8797,4523939,207.64734864306482,203.30735167638645,212.0562786118362,10758,4656196,222.13005882290136,217.90921373648538,226.41147617773655,19598,9180135,213.45081843613806,210.4634116788058,216.4699234852217
,,E12000009,South West,3357,2767122,122.71006032776393,118.56020346040994,126.96719814973513,3774,2857574,121.39172105874695,117.46489964045176,125.41420771193131,7155,5624696,121.144611255781,118.32691134582791,124.01198296125014
E12000001,North East,E06000001,Hartlepool,75,45833,181.984639131311,142.367550714154,229.036238410081,170,47830,341.240508151117,291.200381758172,397.319233521361,245,93663,265.740461498265,233.230445788361,301.483822008105
,,E06000002,Middlesbrough,255,69719,464.272804591624,406.665266241478,527.490446173682,363,71261,530.639974450623,476.958011737754,588.666888543422,629,140980,499.630194068466,460.82624973152,540.795292768538
,,E06000003,Redcar and Cleveland,148,66579,227.182313726649,191.45091089299,267.556208930504,222,70571,301.088935811071,262.030477334953,344.239256136632,376,137150,269.92830230511,242.966607265789,299.032560559798
,,E06000004,Stockton-on-Tees,194,97593,216.674637960034,186.864806997302,249.838217180091,266,99755,265.776152564004,234.569156204165,299.955506244881,466,197348,246.289661442616,224.291287082818,269.851508512337
,,E06000005,Darlington,126,52065,257.294698165324,213.78051403388,306.971574525322,211,54738,372.802117972771,323.615240569945,427.282139517252,340,106803,315.922169814562,283.042107083879,351.556028258139
,,E06000047,County Durham,656,260881,271.566125662631,250.633190773388,293.745451203722,1111,269213,395.910912347441,372.729906432198,420.144621209153,1769,530094,335.600515834585,319.988537062635,351.771470202582
,,E06000057,Northumberland,362,157462,220.25148584124,197.740334230686,244.587286537898,532,164972,309.657285828844,283.115237965599,337.96051466592,897,322434,266.413834461083,248.896718771063,284.818744304853
,,E08000021,Newcastle upon Tyne,430,153112,355.720104570423,321.359716503773,392.626736223652,577,149708,414.584466834124,380.465981362741,450.873689643475,1011,302820,384.12878017628,360.102436555186,409.300273799385
,,E08000022,North Tyneside,199,100649,218.03097205834,188.069133734368,251.318532575191,336,107264,303.299419731001,271.432701003423,337.851619847424,537,207913,259.025243754887,237.487023010302,281.985712511212
,,E08000023,South Tyneside,218,73266,327.582535116527,284.424772964268,375.30522815349,462,77710,563.15634150705,512.27470293536,617.670472678641,681,150976,446.638254784063,413.448810816495,481.766095145618
,,E08000024,Sunderland,493,135366,406.043139950346,369.206444032691,445.422490258804,836,142339,576.385630431946,537.576017570744,617.234686255266,1332,277705,492.516090470735,466.029362096785,520.098978646358
,,E08000037,Gateshead,376,99599,412.726067841335,371.251950412773,457.496006184074,598,102456,540.449835124103,497.569345562029,586.008565239279,974,202055,475.21754652777,445.67273048984,506.197734327633
E12000002,North West,E06000006,Halton,157,63082,286.652715016431,241.88020593141,337.061976036065,193,66328,298.875842526568,257.999077603793,344.364049512685,351,129410,292.451505704441,262.287444179071,325.100223919518
,,E06000007,Warrington,315,104362,334.519777572838,297.69765172666,374.551514305428,373,105652,339.221319009785,305.533750081381,375.597140860815,688,210014,337.803161430607,312.897617139306,364.155636649996
,,E06000008,Blackburn with Darwen,170,75080,304.050979012873,256.85437778162,356.943036440401,202,74616,297.733289022131,257.745329529513,342.124838175155,372,149696,296.474702452543,266.433607754488,328.916421399214
,,E06000009,Blackpool,202,69128,306.310784374918,264.925048178979,352.254037441264,320,70318,442.737197047344,394.81539698335,494.801833305642,522,139446,374.523475133672,342.803449723947,408.369054898848
,,E06000049,Cheshire East,451,188096,233.246220657214,211.957933734664,256.073441255283,599,196056,272.621847188222,250.615359757578,296.001634827583,1050,384152,252.293760072872,237.034922575856,268.265886628254
,,E06000050,Cheshire West and Chester,424,167268,258.673033264548,234.396826125828,284.761399555574,518,175803,271.332698985226,248.151831210787,296.073117039824,942,343071,262.697317514713,246.073281243848,280.142966693097
