Region Code,Region Name,Area Code,Area Name,Deaths,Rate,Lower CL,Upper CL,Deaths.1,Rate.1,Lower CL.1,Upper CL.1,Deaths.2,Rate.2,Lower CL.2,Upper CL.2,Ratio,Ratio.1,Deaths.3,Rate.3,Lower CL.3,Upper CL.3,Deaths.4,Rate.4,Lower CL.4,Upper CL.4,Deaths.5,Rate.5,Lower CL.5,Upper CL.5,Ratio.2,Ratio.3,Deaths.6,Rate.6,Lower CL.6,Upper CL.6,Deaths.7,Rate.7,Lower CL.7,Upper CL.7,Deaths.8,Rate.8,Lower CL.8,Upper CL.8,Ratio.4,Ratio.5
,,E92000001,England,58874,1917.2,1901.5,1933,20059,653,643.8,662.2,1205730,1121.3,1119.2,1123.3,1.7,0.6,55544,1313.9,1303,1325,15366,364.4,358.6,370.2,1253986,833.8,832.4,835.3,1.6,0.4,114418,1580.6,1571.4,1589.8,35425,488.9,483.8,494.1,2459716,961.5,960.3,962.7,1.6,0.5
,,E12000001,North East,3001,2003.9,1930.7,2079,975,660.1,618.1,704.2,68071,1270.3,1260.4,1280.2,1.6,0.5,3109,1503.6,1450.9,1557.7,944,451,422.5,480.8,71193,963.3,956.2,970.5,1.6,0.5,6110,1720.3,1677.1,1764.3,1919,536.5,512.6,561.2,139264,1099.4,1093.6,1105.2,1.6,0.5
,,E12000002,North West,8608,2145.9,2099.8,2192.7,3031,759.5,732.2,787.6,173892,1230.4,1224.5,1236.4,1.7,0.6,8266,1521.4,1488.6,1554.7,2428,444.4,426.8,462.6,180975,930.8,926.5,935.1,1.6,0.5,16874,1800.4,1773.2,1827.8,5459,580.6,565.2,596.2,354867,1064.7,1061.2,1068.2,1.7,0.5
,,E12000003,Yorkshire and The Humber,5660,1910.6,1859.9,1962.4,1728,589.1,560.9,618.3,126463,1206.1,1199.2,1212.9,1.6,0.5,5489,1333.5,1298.2,1369.5,1359,328.7,311.3,346.8,131493,893.5,888.7,898.4,1.5,0.4,11149,1585.8,1556.4,1615.7,3087,438.5,423.1,454.3,257956,1030.6,1026.6,1034.6,1.5,0.4
,,E12000004,East Midlands,4862,1790,1738.7,1842.3,1395,518.6,491.1,547.3,109724,1155.4,1148.4,1162.5,1.5,0.4,4618,1248.6,1212.7,1285.4,1138,306.7,289,325.1,112855,859.7,854.7,864.8,1.5,0.4,9480,1486.1,1456.2,1516.4,2533,396.5,381.2,412.3,222579,989.8,985.7,993.9,1.5,0.4
,,E12000005,West Midlands,7025,2158.1,2107,2210.2,2453,752.1,722.1,783,134441,1173.0,1166.6,1179.5,1.8,0.6,6334,1419.9,1384.9,1455.5,1832,412.2,393.4,431.7,137169,858.4,853.8,863.0,1.7,0.5,13359,1743,1713.5,1772.9,4285,557.4,540.8,574.4,271610,997.9,994.1,1001.6,1.7,0.6
,,E12000006,East of England,6684,1808.6,1764.9,1853,2065,556,532,580.8,137678,1066.7,1061.0,1072.4,1.7,0.5,6279,1223.3,1192.9,1254.3,1448,285.2,270.5,300.4,144549,798.1,793.9,802.3,1.5,0.4,12963,1480.2,1454.7,1506,3513,401.3,388.1,414.9,282227,917.0,913.6,920.4,1.6,0.4
,,E12000007,London,8592,2490.1,2436.6,2544.5,4391,1269.6,1231.6,1308.4,123897,1025.4,1019.5,1031.3,2.4,1.2,7279,1575.7,1539.4,1612.7,2978,654.4,630.9,678.6,122644,746.6,742.4,750.8,2.1,0.9,15871,1984.5,1953.4,2015.9,7369,924.8,903.6,946.4,246541,871.7,868.2,875.1,2.3,1.1
,,E12000008,South East,8959,1658.2,1623.8,1693.2,2809,520.2,501,540,194823,1037.1,1032.5,1041.8,1.6,0.5,8930,1167.9,1143.5,1192.7,2264,294.9,282.8,307.5,208164,772.0,768.6,775.4,1.5,0.4,17889,1385,1364.7,1405.5,5073,392.2,381.4,403.1,402987,889.9,887.2,892.7,1.6,0.4
,,E12000009,South West,5483,1500,1460.1,1540.7,1212,330.9,312.3,350.3,136741,1070.5,1064.8,1076.3,1.4,0.3,5240,1015.6,987.9,1043.9,975,184.6,173,196.7,144944,787.4,783.3,791.5,1.3,0.2,10723,1226.9,1203.7,1250.5,2187,247.6,237.3,258.2,281685,912.5,909.1,915.9,1.3,0.3
E12000001,North East,E06000001,Hartlepool,105,2071.3,1683.7,2519.5,38,740.5,518.8,1023,2542,1356.7,1302.5,1412.6,1.5,0.5,121,1635.6,1354.6,1957.3,38,509.5,358.9,701.3,2545,975.2,937.3,1014.1,1.7,0.5,226,1812.4,1582.2,2066.5,76,601.9,473.3,754.4,5087,1141.6,1110.2,1173.7,1.6,0.5
,,E06000002,Middlesbrough,199,3082.4,2646.6,3566.7,74,1150.6,889.8,1460.6,3688,1526.2,1474.5,1579.3,2,0.8,204,2196.5,1903.6,2521.5,85,907.9,724.3,1123.8,3693,1110.1,1074.3,1146.7,2,0.8,403,2596,2345.5,2865.7,159,1029.9,874,1205.4,7381,1291.6,1262.0,1321.8,2,0.8
,,E06000003,Redcar and Cleveland,147,1698.1,1426.8,2004.7,44,500.9,360.3,677,3814,1238.4,1198.3,1279.5,1.4,0.4,130,1121.1,934.7,1333.4,32,271.2,184.8,383.6,3884,930.1,900.9,960.0,1.2,0.3,277,1357.9,1201.5,1528.9,76,368.5,289.8,461.8,7698,1065.2,1041.4,1089.4,1.3,0.3
,,E06000004,Stockton-on-Tees,159,1516.3,1282.2,1779.7,32,297.8,202.1,422.4,4607,1239.0,1202.1,1276.8,1.2,0.2,180,1280.1,1098.6,1482.8,44,301.4,218.4,405.4,4828,961.0,934.0,988.6,1.3,0.3,339,1376.1,1232.3,1532,76,303.1,238.3,380,9435,1084.8,1062.9,1107.1,1.3,0.3
,,E06000005,Darlington,138,2145,1795.8,2541.2,36,589.6,409.2,821.1,2714,1202.8,1157.2,1249.8,1.8,0.5,96,1100.7,889.5,1346.6,20,224.7,136.3,348.4,2932,925.0,891.5,959.5,1.2,0.2,234,1542.9,1350.7,1754.6,56,362.8,273.6,471.6,5646,1049.2,1022.0,1077.0,1.5,0.3
,,E06000047,County Durham,669,2172.1,2005,2349.1,229,750.6,653.1,858.1,13585,1243.5,1221.9,1265.4,1.7,0.6,671,1655.8,1532.3,1786.5,224,547.4,477.8,624.3,14267,979.2,963.1,995.4,1.7,0.6,1340,1888.9,1788.1,1993.9,453,633.5,575.9,695.2,27852,1097.8,1084.8,1110.9,1.7,0.6
,,E06000057,Northumberland,355,1595.8,1431,1774.1,95,418.6,337.3,513.3,8716,1130.4,1106.2,1155.0,1.4,0.4,378,1276.4,1150.1,1412.7,85,283.4,226,350.8,9288,888.2,870.1,906.6,1.4,0.3,733,1411.2,1310.3,1517.8,180,340.4,292.3,394.2,18004,998.2,983.6,1012.9,1.4,0.3
,,E08000021,Newcastle upon Tyne,296,2217.9,1968.6,2489.7,90,702.2,563.1,865.1,6207,1270.4,1238.3,1303.1,1.7,0.6,276,1467.4,1297.1,1653.5,79,412,325.1,514.9,6447,968.8,945.0,993.1,1.5,0.4,572,1798.1,1652.7,1952.7,169,533.1,455.3,620.4,12654,1107.9,1088.6,1127.5,1.6,0.5
,,E08000022,North Tyneside,186,1634.2,1399.5,1895.9,58,537.8,403.5,701.1,5277,1281.0,1245.6,1317.2,1.3,0.4,210,1217.5,1057.1,1395.2,48,273.3,200.8,363.2,5732,929.3,905.1,953.9,1.3,0.3,396,1393.3,1258.7,1538.3,106,374.3,306.1,453.2,11009,1081.0,1060.8,1101.5,1.3,0.3
,,E08000023,South Tyneside,148,1711,1438.6,2018.9,46,568.8,410.9,765.7,4147,1359.2,1316.6,1402.9,1.3,0.4,195,1550,1338.1,1785.7,57,451.3,340.6,586.2,4497,976.6,947.9,1005.9,1.6,0.5,343,1639.1,1469.1,1823.3,103,486.2,396.3,590.3,8644,1138.6,1114.6,1163.0,1.4,0.4
,,E08000024,Sunderland,332,2283.3,2025.8,2562.7,129,866.2,712.7,1041.3,7367,1406.6,1372.2,1441.6,1.6,0.6,381,1841.2,1658.8,2038.1,147,700,590.1,824.2,7554,1014.2,991.3,1037.5,1.8,0.7,713,2038.3,1887.7,2197.6,276,766.9,677.1,865.2,14921,1179.1,1159.9,1198.5,1.7,0.7
,,E08000037,Gateshead,267,2323.6,2045.7,2627.8,104,939.5,762.7,1144.1,5407,1291.6,1256.3,1327.6,1.8,0.7,267,1668.5,1472.6,1883.1,85,518,412.8,641.5,5526,979.3,953.5,1005.6,1.7,0.5,534,1946,1783.2,2119.7,189,686,590.9,792,10933,1118.8,1097.8,1140.1,1.7,0.6
E12000002,North West,E06000006,Halton,131,1997.3,1653,2389.3,52,797.6,584.2,1060,3061,1323.3,1274.1,1373.8,1.5,0.6,132,1541.1,1287.9,1829.3,31,360.2,244,512.1,3061,1033.2,996.7,1070.7,1.5,0.3,263,1722.5,1517.3,1947.5,83,542.2,430.1,674.1,6122,1165.6,1136.0,1195.7,1.5,0.5
,,E06000007,Warrington,211,1817.9,1572.3,2089.9,81,738.4,580,925.3,4743,1218.2,1182.1,1255.1,1.5,0.6,234,1523.4,1334.2,1731.9,82,530.6,421.9,658.8,4930,921.9,896.3,948.0,1.7,0.6,445,1693,1538.2,1859,163,626.3,533.2,730.9,9673,1053.9,1032.9,1075.3,1.6,0.6
,,E06000008,Blackburn with Darwen,149,2336.3,1956.2,2765.5,42,750.5,528,1030.5,3178,1384.4,1333.2,1436.9,1.7,0.5,122,1509.1,1251.5,1803.9,25,312.4,201.5,462.2,3211,1073.0,1036.0,1111.0,1.4,0.3,271,1883.5,1662.3,2125.7,67,490.2,378.1,624.7,6389,1213.5,1183.4,1244.2,1.6,0.4
,,E06000009,Blackpool,185,2196.1,1884.6,2543.5,42,500.1,357.3,679.9,4715,1541.7,1496.9,1587.5,1.4,0.3,186,1657,1425.1,1915.6,42,367.8,263.9,498.7,4698,1107.3,1075.5,1139.9,1.5,0.3,371,1902.1,1712.8,2106.6,84,429.8,342.4,532.6,9413,1302.6,1276.4,1329.3,1.5,0.3
,,E06000049,Cheshire East,474,1812,1650.6,1984.7,167,638.6,544.2,744.5,9398,1046.6,1025.3,1068.3,1.7,0.6,492,1357.6,1239,1484.5,153,419.6,355.1,492.4,10048,790.1,774.5,805.9,1.7,0.5,966,1560.3,1463.1,1662.2,320,512.9,458.2,572.5,19446,906.8,894.0,919.7,1.7,0.6
,,E06000050,Cheshire West and Chester,407,1866.1,1686.8,2059,151,688.6,581.9,809.2,8124,1092.2,1068.0,1116.7,1.7,0.6,394,1325.8,1197.4,1464.1,102,344.6,280.7,418.7,8854,855.4,837.5,873.5,1.5,0.4,801,1568.1,1461.1,1680.9,253,493.2,434.2,558,16978,962.0,947.5,976.6,1.6,0.5
