Local Authority District name (2019),IMD_rank_avg,IMD_decile_avg,IMD_rank_std,IMD_decile_std
Adur,17774.97619047619,5.904761904761905,7552.673619606327,2.2718803194337567
Allerdale,15163.966666666667,5.083333333333333,8394.250453544746,2.631566309812058
Amber Valley,18042.589743589742,6.012820512820513,8193.020942678359,2.5456537432166577
Arun,17267.010638297874,5.75531914893617,7481.100020452516,2.3125937131270953
Ashfield,12486.364864864865,4.283783783783784,7843.582352810734,2.4072963876132123
Ashford,17247.78205128205,5.730769230769231,7339.209056516789,2.271638100653284
Aylesbury Vale,24008.869565217392,7.756521739130434,7209.679590566213,2.1545191361082408
Babergh,20405.222222222223,6.685185185185185,6675.120259440081,2.045003797330737
Barking and Dagenham,7244.5,2.6818181818181817,3223.196816854888,1.0130507851259827
Barnet,19287.450236966826,6.38388625592417,7077.291153914311,2.1886125342545015
Barnsley,10996.142857142857,3.82312925170068,8220.030356075002,2.5012344357052285
Barrow-in-Furness,11460.489795918367,4.061224489795919,9173.260439365897,2.779449610274383
Basildon,15487.927272727273,5.2,10202.577895778739,3.106075727025718
Basingstoke and Deane,22468.92660550459,7.3577981651376145,7937.289791566395,2.374723905120795
Bassetlaw,14626.971428571429,4.928571428571429,8155.949223622121,2.4690632417833016
Bath and North East Somerset,23317.591304347825,7.495652173913044,7985.883719892436,2.461542495449373
Bedford,17450.077669902912,5.796116504854369,8752.543393588709,2.6433758247739636
Bexley,19696.109589041094,6.506849315068493,8059.521593676755,2.4558068421809915
Birmingham,7752.449139280126,2.890453834115806,7404.626407329878,2.2508555560387773
Blaby,23774.65,7.716666666666667,5541.486932024347,1.7378309748577798
Blackburn with Darwen,9192.494505494506,3.318681318681319,8904.442407365023,2.6368294129255605
Blackpool,5885.340425531915,2.4148936170212765,5694.712642128022,1.5754130673086955
Bolsover,12545.395833333334,4.333333333333333,6986.165324866371,2.127163062634236
Bolton,12005.4802259887,4.209039548022599,9893.125493751613,2.9841108930954126
Boston,13713.138888888889,4.638888888888889,6792.681297450231,2.0996976350727636
"Bournemouth, Christchurch and Poole",18284.04721030043,6.064377682403434,8422.365273198226,2.5897962364626923
Bracknell Forest,24498.426666666666,7.96,6453.98838802742,1.9689481346030309
Bradford,10199.258064516129,3.629032258064516,9352.742557356658,2.826331750521264
Braintree,20081.919540229886,6.609195402298851,6677.016098664362,2.064969856410885
Breckland,15965.871794871795,5.346153846153846,6221.566160529314,1.8920676731872146
Brent,12034.70520231214,4.161849710982659,5652.810698271794,1.754509485702892
Brentwood,24755.08695652174,8.021739130434783,6531.271803412278,2.005427418391098
Brighton and Hove,16575.8,5.551515151515152,8744.173778203096,2.678746659527094
"Bristol, City of",13542.152091254753,4.634980988593156,9159.758012470036,2.8046840420933457
Broadland,22861.285714285714,7.476190476190476,5668.78435911571,1.7526310031382009
Bromley,21707.984771573603,7.106598984771574,8385.555077873656,2.499756540512635
Bromsgrove,23499.396551724138,7.637931034482759,7756.185341423593,2.352290976317679
Broxbourne,17751.98214285714,5.910714285714286,7149.842077063525,2.1931860238167067
Broxtowe,20958.25352112676,6.887323943661972,8148.202442814892,2.405643933839443
Burnley,8735.833333333334,3.216666666666667,8287.017406592986,2.4912842421412376
Bury,15383.258333333333,5.216666666666667,9386.656085215587,2.8408287740110807
Calderdale,12981.390625,4.4765625,8528.307633423241,2.5716958581088423
Cambridge,19797.17391304348,6.608695652173913,7638.709569100933,2.3150237662631388
Camden,16247.744360902256,5.406015037593985,8150.582391028352,2.519733012507002
Cannock Chase,15654.55,5.233333333333333,8054.807799840592,2.4520255664513515
Canterbury,18476.922222222223,6.133333333333334,8275.810516981632,2.584308744208643
Carlisle,15225.941176470587,5.176470588235294,8974.339373486944,2.7369291892889263
Castle Point,18865.105263157893,6.280701754385965,7679.218676969799,2.396085989728966
Central Bedfordshire,23200.59872611465,7.528662420382165,7345.510550983762,2.240537108093814
Charnwood,22146.303030303032,7.202020202020202,7831.060870419488,2.3732342436215434
Chelmsford,23008.51401869159,7.4953271028037385,7325.831608875135,2.2460608359496432
Cheltenham,21866.52,7.013333333333334,9814.859845841585,2.9431245270939494
Cherwell,20883.31182795699,6.860215053763441,7470.174092870484,2.267882549339142
Cheshire East,21700.17094017094,7.1068376068376065,9155.321368538194,2.7455223475032464
Cheshire West and Chester,18877.27358490566,6.231132075471698,9769.102771874734,2.9862834359324606
Chesterfield,13778.550724637682,4.6521739130434785,9168.569820052815,2.775025632931543
Chichester,20451.563380281692,6.732394366197183,6059.895234201413,1.8666834338616503
Chiltern,27875.385964912282,8.859649122807017,5412.2451960952985,1.5052123306699967
Chorley,19538.833333333332,6.424242424242424,9185.288254902023,2.7738371426910575
City of London,20275.166666666668,6.666666666666667,8363.4998993643,2.581988897471611
Colchester,18653.819047619047,6.171428571428572,8053.33289555056,2.4315915287394305
Copeland,12980.816326530612,4.469387755102041,7905.626634644123,2.4161094830354033
Corby,12284.146341463415,4.170731707317073,8096.763287144363,2.4073059529730556
Cornwall,13324.588957055215,4.542944785276074,5991.499234215151,1.8220012437774493
Cotswold,23618.176470588234,7.647058823529412,5339.373243016007,1.634913201509667
County Durham,12317.79938271605,4.262345679012346,8714.272225546345,2.6291416492887203
Coventry,13739.502564102564,4.6923076923076925,8774.63050614231,2.6782230429379896
Craven,21711.6875,7.0625,6477.3005948441005,2.1089287909176284
Crawley,16269.318181818182,5.5,6819.283822444183,2.1643972335538098
Croydon,14926.636363636364,5.0227272727272725,8087.318064946076,2.4428503110455164
Dacorum,22246.244680851065,7.212765957446808,8055.12883390982,2.40908826025747
Darlington,14055.938461538462,4.815384615384615,10164.658417583636,3.0765865200550775
Dartford,17163.327586206895,5.793103448275862,7823.273336514719,2.433383469968868
Daventry,21956.909090909092,7.159090909090909,7090.596153039379,2.101419031281413
Derby,14529.17880794702,4.9072847682119205,10609.28850714385,3.221492394067246
Derbyshire Dales,23092.81395348837,7.558139534883721,6056.981549284436,1.918609684882152
Doncaster,11275.149484536083,3.9536082474226806,8583.04949813195,2.6433830520233674
Dorset,19776.04109589041,6.502283105022831,7459.623074027287,2.2694105228712487
Dover,14972.298507462687,5.0,7695.572489415341,2.3484359721209165
Dudley,15148.850746268658,5.079601990049751,9684.916314435137,2.967091478332952
Ealing,14031.198979591836,4.795918367346939,6859.7677658379735,2.133778080275931
East Cambridgeshire,23106.1,7.5,6083.927464883124,1.8098370656171325
East Devon,22003.185185185186,7.197530864197531,6132.784993604273,1.8331649754346966
East Hampshire,24518.25,7.986111111111111,6094.460358668377,1.8269736043141729
East Hertfordshire,26583.47619047619,8.55952380952381,5907.711789668459,1.7448802249513504
East Lindsey,10879.901234567902,3.8395061728395063,7541.933446744504,2.3369680684781335
East Northamptonshire,21069.714285714286,6.918367346938775,7833.730794880986,2.431021173412159
East Riding of Yorkshire,20628.628571428573,6.757142857142857,8908.901219182475,2.668811793847113
East Staffordshire,17986.708333333332,5.916666666666667,9037.445638801697,2.8667594700558556
East Suffolk,17196.890410958906,5.7465753424657535,8814.488420325102,2.69049833567768
Eastbourne,15040.672131147541,4.983606557377049,8180.654329415042,2.513243609884038
Eastleigh,24970.12987012987,8.064935064935066,6936.857773688713,2.129601286735336
Eden,18237.333333333332,6.111111111111111,5028.3974953685365,1.6523191974188067
Elmbridge,27159.11111111111,8.703703703703704,6224.44831691934,1.833333333333334
Enfield,12698.51912568306,4.382513661202186,7878.072486855442,2.430601657207766
Epping Forest,20239.653846153848,6.628205128205129,7225.215330142975,2.2045347264158397
Epsom and Ewell,26723.636363636364,8.704545454545455,6185.289461711436,1.8246317940703398
Erewash,18127.013698630137,5.972602739726027,9541.650390805842,2.8962264852530577
Exeter,19288.87837837838,6.391891891891892,8117.036420103062,2.4873244004520285
Fareham,25983.095890410958,8.32876712328767,6317.17376408765,1.9297005706164472
Fenland,11877.09090909091,4.1454545454545455,6033.254549125659,1.8299785651262552
Folkestone and Hythe,13539.089552238805,4.597014925373134,7318.364450769253,2.2966358894837393
Forest of Dean,16772.94,5.62,5275.365387906166,1.5764853701982076
Fylde,19611.019607843136,6.470588235294118,7954.7412038109605,2.436004443152521
Gateshead,12238.166666666666,4.253968253968254,8900.300143028888,2.7186364462693664
Gedling,20429.428571428572,6.688311688311688,7873.227782923882,2.413011550672183
Gloucester,16389.48717948718,5.448717948717949,9887.175310962359,2.9832756158178544
Gosport,16463.075471698114,5.528301886792453,8493.922655117454,2.6062334565784164
Gravesham,16007.375,5.34375,8360.554738752835,2.55242648324706
Great Yarmouth,10160.377049180328,3.6721311475409837,7392.89672177272,2.270985920075316
Greenwich,12654.51655629139,4.317880794701987,6357.733209097201,1.9506267742348948
Guildford,25310.416666666668,8.19047619047619,6893.465229656996,2.1197646520661597
Hackney,7420.611111111111,2.7430555555555554,3446.9689839595576,1.114096126332992
Halton,10692.784810126583,3.7974683544303796,9476.46087198316,2.8616820714104265
Hambleton,22844.653846153848,7.461538461538462,6615.080915974261,1.9650030031562986
Hammersmith and Fulham,14202.601769911504,4.823008849557522,6913.660359260581,2.1011480216418734
Harborough,26858.68085106383,8.553191489361701,5381.738514588753,1.6125662863126227
Haringey,11291.917241379311,3.9034482758620688,7147.925877778429,2.1868424025262057
Harlow,14011.611111111111,4.814814814814815,5977.629868594404,1.7811812285202715
Harrogate,24081.85576923077,7.836538461538462,6297.386288483038,1.8958850530632598
Harrow,19977.0,6.554744525547445,6414.908465258648,1.9886431526708515
Hart,29401.736842105263,9.385964912280702,3879.3910490764056,1.0815726969311252
Hartlepool,10395.965517241379,3.689655172413793,9789.55798504967,2.968884819589726
Hastings,8860.924528301886,3.2264150943396226,6930.486351701268,2.072173788319539
Havant,16190.897435897436,5.448717948717949,9652.36215566683,2.991969493808627
Havering,19197.02,6.346666666666667,7823.870173356036,2.3714936438684107
"Herefordshire, County of",16395.146551724138,5.525862068965517,6358.411684709387,1.9536418918725
Hertsmere,21120.74193548387,6.935483870967742,7629.0732521328755,2.3460533147124547
High Peak,19897.762711864405,6.559322033898305,7979.926549525816,2.4654242583816037
Hillingdon,17705.3850931677,5.906832298136646,7874.741228337371,2.4155776799660797
Hinckley and Bosworth,21580.590909090908,7.090909090909091,7428.430994863892,2.2717480407913113
Horsham,25199.135802469136,8.148148148148149,6254.36757145174,1.8446619684315548
Hounslow,14338.802816901409,4.830985915492958,5665.557360223072,1.7257820962600843
Huntingdonshire,22492.019047619047,7.352380952380952,6871.306260850473,2.103024161228449
Hyndburn,9739.057692307691,3.519230769230769,8512.387113445637,2.5398037952271775
Ipswich,13231.635294117646,4.517647058823529,8687.174815903776,2.6974933898408904
Isle of Wight,13356.404494382023,4.595505617977528,6363.038562166344,1.9523825836164872
Isles of Scilly,22165.0,7.0,,
Islington,10296.512195121952,3.6422764227642275,5100.6293156662205,1.6151439122847158
Kensington and Chelsea,15419.339805825242,5.213592233009709,8174.956438755918,2.523033054258358
Kettering,18504.508771929824,6.12280701754386,8762.480403733553,2.70627693281614
King's Lynn and West Norfolk,13390.056179775282,4.584269662921348,6749.07399264311,2.0987495669177356
"Kingston upon Hull, City of",7693.698795180723,2.9518072289156625,7712.813813836532,2.3088951284389783
Kingston upon Thames,23519.428571428572,7.622448979591836,5699.875715772909,1.7674917058814656
Kirklees,13913.988416988417,4.714285714285714,9020.67999614711,2.7652727011724165
Knowsley,6473.6122448979595,2.561224489795918,6728.5655532808,1.910720307479534
Lambeth,11294.58988764045,3.949438202247191,5121.273951601768,1.574056876301418
Lancaster,14832.865168539325,5.022471910112359,9217.384282123705,2.763304708339963
Leeds,14058.02489626556,4.796680497925311,10160.311348064468,3.0749726394660852
Leicester,10098.515625,3.5833333333333335,7081.322606205547,2.16186203756368
Lewes,19504.854838709678,6.467741935483871,7383.0469427540975,2.2303255804043562
Lewisham,10781.378698224851,3.7633136094674557,5328.461350862814,1.637602313013599
Lichfield,22330.01724137931,7.293103448275862,7212.7813417507705,2.2005471463926134
Lincoln,12675.192982456141,4.333333333333333,8592.085144061773,2.6072243953329077
Liverpool,7023.402684563758,2.751677852348993,7927.92246589092,2.338107785600054
Luton,12621.247933884297,4.322314049586777,7236.20648001077,2.184089726610218
Maidstone,19503.715789473685,6.442105263157894,8489.258532972222,2.5545778244442308
Maldon,20575.65,6.8,5768.619554682616,1.8425177868535747
Malvern Hills,19185.133333333335,6.377777777777778,6649.137717848014,2.048157585477615
Manchester,6598.627659574468,2.5425531914893615,6106.742335890281,1.8406147063306315
Mansfield,12053.537313432837,4.164179104477612,8994.105871858117,2.761186695505313
Medway,14440.9509202454,4.9079754601226995,8859.155807818594,2.677777353506006
Melton,22382.3,7.4,7141.288404714539,2.1591824761972394
Mendip,18237.348484848484,6.045454545454546,6364.1908579716555,1.987900463239609
Merton,20967.604838709678,6.887096774193548,7983.347448586615,2.426847389252406
