code,name,week,pop,deaths.1519,AllCause.20,COVID.20,Other.20,allexcess,excessrate_sum,othexcess_sum,excessrate_mean,othexcess_mean,COVIDrate
E06000001,Hartlepool,25,93242.0,1025.1999999999998,600.0,108.0,492.0,35.59999999999998,38.18021921451705,-72.4,0.6109875053055163,-1.0666666666666667,1.754964110983931
E06000002,Middlesbrough,25,140545.0,1466.3999999999987,967.0,205.0,762.0,166.20000000000002,118.25394001921087,-38.79999999999999,1.8089752338569431,-0.5333333333333332,2.188450372306077
E06000003,Redcar and Cleveland,25,136718.0,1563.2000000000003,929.0,133.0,796.0,64.59999999999998,47.25054491727498,-68.39999999999996,0.8533380145018699,-0.8333333333333333,1.462865167717491
E06000004,Stockton-on-Tees,25,197213.0,1904.000000000001,1039.0,149.0,890.0,3.2000000000000277,1.6226110854761187,-145.79999999999993,0.28272768913598895,-1.5636363636363633,1.075594469539088
E06000005,Darlington,25,106566.0,1147.8,703.0,90.0,613.0,76.40000000000002,71.6926599478257,-13.599999999999996,1.1516550562775436,-0.10606060606060612,1.251180801881777
E06000006,Halton,25,128432.0,1219.0000000000002,784.0,126.0,658.0,127.80000000000003,99.50791080104635,1.8,1.6091524438353877,0.15757575757575765,1.4864604686455927
E06000007,Warrington,25,209547.0,1961.999999999999,1205.0,229.0,976.0,141.8,67.66978291266385,-87.19999999999999,1.334769620643432,-0.6424242424242422,1.6413472583210171
E06000008,Blackburn with Darwen,25,148942.0,1296.6,761.0,90.0,671.0,70.4,47.266721274052976,-19.599999999999998,0.7914408822144717,-0.1696969696969697,0.9053758164150131
E06000009,Blackpool,25,139305.0,1888.0000000000007,1091.0,139.0,952.0,48.2,34.600337389182066,-90.8,0.7657059449888143,-0.9939393939393941,1.4792046664556635
E06000010,"Kingston upon Hull, City of",25,260645.0,2533.399999999999,1473.0,209.0,1264.0,61.000000000000014,23.403479828886056,-148.0,0.5266654924235159,-1.7181818181818183,1.185869320688711
E06000011,East Riding of Yorkshire,25,339614.0,3900.6000000000004,2382.0,310.0,2072.0,235.0,69.1962051034409,-75.00000000000001,1.1439011598015638,-0.6454545454545456,1.3339565007046317
E06000012,North East Lincolnshire,25,159821.0,1739.400000000001,891.0,35.0,856.0,-58.60000000000001,-36.666020109998065,-93.60000000000001,-0.5327930319014094,-1.3666666666666667,0.32233030399729384
E06000013,North Lincolnshire,25,172005.0,1779.999999999999,1032.0,100.0,932.0,24.00000000000002,13.953082759222099,-75.99999999999997,0.48272028737712863,-0.6848484848484852,0.8808764368195787
E06000014,York,25,209893.0,1842.8000000000004,1130.0,166.0,964.0,129.79999999999995,61.8410332883897,-36.2,1.240170135750264,0.1484848484848481,1.1694270197412278
E06000015,Derby,25,257174.0,2335.8000000000006,1497.0,310.0,1187.0,212.20000000000007,82.51222907447882,-97.79999999999998,1.4163267835878608,-0.9333333333333332,1.7792457930263454
E06000016,Leicester,25,355218.0,2539.2,1608.0,294.0,1314.0,224.6,63.228777820943776,-69.39999999999999,1.087680343799122,-0.3939393939393938,1.1985810847355018
E06000017,Rutland,25,39697.0,379.40000000000003,230.0,23.0,207.0,27.000000000000004,68.01521525556083,3.9999999999999964,1.3435104248012022,0.19999999999999998,0.8396940155007505
E06000018,Nottingham,25,331069.0,2370.8,1391.0,234.0,1157.0,80.40000000000003,24.284967786171467,-153.59999999999997,0.4860288668195782,-1.8454545454545452,1.0434518044714114
E06000019,"Herefordshire, County of",25,192107.0,2105.7999999999993,1238.0,125.0,1113.0,59.000000000000036,30.7120510965243,-66.0,0.7965888959293674,-0.3030303030303028,0.9543292713609255
E06000020,Telford and Wrekin,25,177799.0,1512.4,948.0,101.0,847.0,127.79999999999998,71.87891945399019,26.800000000000026,0.9459098092892436,0.18181818181818174,0.843649289366082
E06000021,Stoke-on-Trent,25,255833.0,2580.4,1474.0,195.0,1279.0,52.400000000000034,20.48211137734379,-142.59999999999994,0.5069594997399463,-1.5666666666666667,1.1193381477903026
E06000022,Bath and North East Somerset,25,192106.0,1666.4000000000005,949.0,90.0,859.0,55.19999999999999,28.7341363622167,-34.80000000000001,0.6451614938596086,-0.12424242424242418,0.7098353844421113
E06000023,"Bristol, City of",25,463405.0,3376.2000000000003,1892.0,250.0,1642.0,41.19999999999998,8.890711148994965,-208.80000000000004,0.2537213831869698,-2.5363636363636366,0.8010533360928807
E06000024,North Somerset,25,213919.0,2359.1999999999985,1363.0,145.0,1218.0,69.2,32.348692729491056,-75.80000000000001,0.5722925145697312,-0.8666666666666665,0.9774302847849377
E06000025,South Gloucestershire,25,282644.0,2270.0000000000005,1349.0,168.0,1181.0,103.4,36.58312223149973,-64.60000000000001,0.8255378969068279,-0.21212121212121235,0.90058679662563
E06000026,Plymouth,25,263100.0,2518.800000000001,1321.0,90.0,1231.0,-58.59999999999997,-22.272900038008373,-148.60000000000002,-0.19580065190099413,-1.863636363636364,0.5125370005643666
E06000027,Torbay,25,135780.0,1804.0000000000002,942.0,58.0,884.0,-57.20000000000001,-42.12697009868907,-115.20000000000003,-0.2878988738467312,-1.26969696969697,0.6472145226011784
E06000030,Swindon,25,221996.0,1735.2,1116.0,166.0,950.0,176.60000000000002,79.5509829005927,10.600000000000033,1.4278171542266376,0.6545454545454543,1.1329715468528785
E06000031,Peterborough,25,201041.0,1574.4000000000005,896.0,99.0,797.0,38.4,19.100581473430793,-60.6,0.2456908759603235,-0.9757575757575756,0.731043403931024
E06000032,Luton,25,214109.0,1472.5999999999995,971.0,210.0,761.0,160.79999999999998,75.10193406162286,-49.19999999999996,1.3502043776343322,-0.2606060606060606,1.4719209148214942
E06000033,Southend-on-Sea,25,182463.0,1960.4000000000005,1163.0,198.0,965.0,66.80000000000004,36.610162060253316,-131.19999999999993,0.9433211781085049,-1.1272727272727276,1.561130118700694
E06000034,Thurrock,25,172525.0,1244.3999999999996,803.0,145.0,658.0,122.60000000000002,71.06216490363721,-22.399999999999995,1.1891118107608478,-0.06969696969696967,1.2295099963553808
E06000035,Medway,25,277855.0,2248.0,1269.0,188.0,1081.0,30.40000000000003,10.940958413561,-157.59999999999994,0.3555375242046338,-1.8606060606060606,1.0251695483201115
E06000036,Bracknell Forest,25,121676.0,726.3999999999999,448.0,70.0,378.0,45.40000000000001,37.312206186922644,-24.599999999999998,0.5578650504519206,-0.3818181818181817,0.8716641413311262
E06000037,West Berkshire,25,158527.0,1198.8000000000006,742.0,131.0,611.0,93.59999999999998,59.04356986507033,-37.4,0.86592648112137,-0.612121212121212,1.2520570532770334
E06000038,Reading,25,163203.0,1096.0000000000005,730.0,165.0,565.0,136.2,83.45434826565689,-28.800000000000008,1.3740092047476102,-0.2575757575757576,1.5318345863740266
E06000039,Slough,25,149112.0,826.8000000000001,523.0,107.0,416.0,75.79999999999997,50.83427222490477,-31.19999999999998,0.9449882699520556,-0.21212121212121202,1.087244568654516
E06000040,Windsor and Maidenhead,25,150906.0,1257.1999999999998,822.0,129.0,693.0,147.19999999999996,97.54416656726704,18.2,1.5120791630671953,0.3424242424242426,1.2851668849442308
E06000041,Wokingham,25,167979.0,1175.200000000001,744.0,149.0,595.0,109.4,65.12718851761238,-39.599999999999994,1.217684678117233,-0.19696969696969696,1.3349432026766712
E06000042,Milton Keynes,25,268607.0,1776.7999999999993,1145.0,196.0,949.0,187.20000000000005,69.6928970577832,-8.799999999999995,1.2466111637019301,0.3939393939393938,1.0999510267958226
E06000043,Brighton and Hove,25,290395.0,2156.0,1169.0,158.0,1011.0,-13.000000000000046,-4.4766610995368765,-171.00000000000006,0.11791671427684422,-1.9757575757575763,0.7982857205467784
E06000044,Portsmouth,25,215133.0,1751.5999999999997,898.0,104.0,794.0,-76.60000000000004,-35.605881013140674,-180.60000000000002,-0.06902002411756794,-1.7242424242424237,0.7324573987986855
E06000045,Southampton,25,252796.0,1870.4000000000005,1055.0,165.0,890.0,39.19999999999998,15.506574471115059,-125.8,0.356018291428662,-1.5696969696969696,0.9769525505533991
E06000046,Isle of Wight,25,141538.0,1786.9999999999998,911.0,80.0,831.0,-59.00000000000003,-41.684918537777854,-139.00000000000009,-0.26334077966855046,-1.5696969696969703,0.8456878696672957
E06000047,County Durham,25,526980.0,5626.8,3534.0,703.0,2831.0,471.00000000000006,89.37720596607075,-232.00000000000006,1.58478787648775,-2.0575757575757567,1.9752345267545088
E06000049,Cheshire East,25,380790.0,3973.1999999999975,2608.0,541.0,2067.0,446.7999999999999,117.33501404973877,-94.2,2.032457243991161,-0.0787878787878785,2.053147881557242
E06000050,Cheshire West and Chester,25,340502.0,3440.3999999999996,2142.0,396.0,1746.0,250.2,73.47974461236647,-145.8,1.2770805600216302,-1.3939393939393938,1.6864583005163671
