Area Code,Area Name,total_furloughed
E92000001,England,6445800.0
E12000001,North East,282500.0
E06000047,County Durham UA,55800.0
E06000005,Darlington UA,11600.0
E06000001,Hartlepool UA,9100.0
E06000002,Middlesbrough UA,13000.0
E06000057,Northumberland UA,33800.0
E06000003,Redcar and Cleveland UA,13100.0
E06000004,Stockton-on-Tees UA,20600.0
E10000007,Tyne and Wear Metropolitan County,125500.0
E08000037,Gateshead,24200.0
E08000021,Newcastle upon Tyne,30300.0
E08000022,North Tyneside,22200.0
E08000023,South Tyneside,16300.0
E08000024,Sunderland,32400.0
E12000002,North West,828900.0
E06000008,Blackburn with Darwen UA,16500.0
E06000009,Blackpool UA,17200.0
E06000049,Cheshire East UA,43400.0
E06000050,Cheshire West And Chester UA,41400.0
E06000006,Halton UA,13800.0
E06000007,Warrington UA,24500.0
E10000006,Cumbria County,64000.0
E07000026,Allerdale,12400.0
E07000027,Barrow-in-Furness,6300.0
E07000028,Carlisle,15100.0
E07000029,Copeland,5800.0
E07000030,Eden,8000.0
E07000031,South Lakeland,16500.0
E11000001,Greater Manchester Metropolitan County,326800.0
E08000001,Bolton,33900.0
E08000002,Bury,23000.0
E08000003,Manchester,62200.0
E08000004,Oldham,25800.0
E08000005,Rochdale,23800.0
E08000006,Salford,33500.0
E08000007,Stockport,33700.0
E08000008,Tameside,27700.0
E08000009,Trafford,26100.0
E08000010,Wigan,37100.0
E10000017,Lancashire County,137500.0
E07000117,Burnley,11200.0
E07000118,Chorley,13300.0
E07000119,Fylde,8700.0
E07000120,Hyndburn,9800.0
E07000121,Lancaster,14200.0
E07000122,Pendle,12100.0
E07000123,Preston,15400.0
E07000124,Ribble Valley,7900.0
E07000125,Rossendale,8400.0
E07000126,South Ribble,12500.0
E07000127,West Lancashire,11800.0
E07000128,Wyre,12100.0
E11000002,Merseyside Metropolitan County,143900.0
E08000011,Knowsley,16500.0
E08000012,Liverpool,48600.0
E08000013,St. Helens,19500.0
E08000014,Sefton,27700.0
E08000015,Wirral,31600.0
E12000003,Yorkshire and the Humber,603600.0
E06000011,East Riding of Yorkshire UA,37800.0
E06000010,"Kingston upon Hull, City of (UA)",31900.0
E06000012,North East Lincolnshire UA,17200.0
E06000013,North Lincolnshire UA,18100.0
E06000014,York UA,24000.0
E10000023,North Yorkshire County,72600.0
E07000163,Craven,6900.0
E07000164,Hambleton,9400.0
E07000165,Harrogate,19000.0
E07000166,Richmondshire,5400.0
E07000167,Ryedale,6600.0
E07000168,Scarborough,14500.0
E07000169,Selby,10700.0
E11000003,South Yorkshire Metropolitan County,145600.0
E08000016,Barnsley,27400.0
E08000017,Doncaster,35700.0
E08000018,Rotherham,29100.0
E08000019,Sheffield,53500.0
E11000006,West Yorkshire Metropolitan County,256300.0
E08000032,Bradford,53900.0
E08000033,Calderdale,23700.0
E08000034,Kirklees,50400.0
E08000035,Leeds,88200.0
E08000036,Wakefield,40100.0
E12000004,East Midlands,559100.0
E06000015,Derby UA,28500.0
E06000016,Leicester UA,42400.0
E06000018,Nottingham UA,33000.0
E06000017,Rutland UA,4300.0
E10000007,Derbyshire County,96100.0
E07000032,Amber Valley,15700.0
E07000033,Bolsover,9000.0
E07000034,Chesterfield,11500.0
E07000035,Derbyshire Dales,8600.0
E07000036,Erewash,15100.0
E07000037,High Peak,11200.0
E07000038,North East Derbyshire,11300.0
E07000039,South Derbyshire,13700.0
E10000018,Leicestershire County,87300.0
E07000129,Blaby,13200.0
E07000130,Charnwood,21400.0
E07000131,Harborough,11500.0
E07000132,Hinckley and Bosworth,14500.0
E07000133,Melton,6500.0
E07000134,North West Leicestershire,13700.0
E07000135,Oadby and Wigston,6600.0
E10000019,Lincolnshire County,78200.0
E07000136,Boston,6400.0
E07000137,East Lindsey,15100.0
E07000138,Lincoln,10800.0
E07000139,North Kesteven,11400.0
E07000140,South Holland,8700.0
E07000141,South Kesteven,16800.0
E07000142,West Lindsey,9000.0
E10000021,Northamptonshire County,95900.0
E07000150,Corby,8900.0
E07000151,Daventry,10700.0
E07000152,East Northamptonshire,11800.0
E07000153,Kettering,12900.0
E07000154,Northampton,29000.0
E07000155,South Northamptonshire,12000.0
E07000156,Wellingborough,10700.0
E10000024,Nottinghamshire County,93300.0
E07000170,Ashfield,15300.0
E07000171,Bassetlaw,13100.0
E07000172,Broxtowe,11900.0
E07000173,Gedling,14000.0
E07000174,Mansfield,13500.0
E07000175,Newark and Sherwood,13900.0
E07000176,Rushcliffe,11600.0
E12000005,West Midlands,697100.0
E06000019,"Herefordshire, County of (UA)",20700.0
E06000051,Shropshire UA,35000.0
E06000021,Stoke-on-Trent UA,31100.0
E06000020,Telford and Wrekin UA,21200.0
E10000028,Staffordshire County,111400.0
